POS_ID,HIRE_DATE,HIRE_MONTH,HIRE_COUNT,TERM_DATE,TERM_MONTH,TERM_COUNT,TERM_REASON,FILL_TIME,HIRE_HEADCOUNT,TERM_HEADCOUNT
AA10LZA5K,,,,,,,,31,,
AA11PTU9B,,,,10/1/2021,10/1/2021,1,Voluntary Resignation,20,,"38,555"
AA12CAC2L,3/4/2019,3/1/2019,1,8/21/2021,8/1/2021,1,Voluntary Resignation,46,"40,982","37,967"
AA12GBT2S,1/3/2017,1/1/2017,1,,,,,17,,
AA13RZI8W,12/11/2018,12/1/2018,1,,,,,57,,
AA14RGA2S,8/22/2016,8/1/2016,1,4/15/2019,4/1/2019,1,Voluntary Resignation,14,,"41,125"
AA14WYG8X,,,,,,,,53,,
AA15GWL5S,,,,9/5/2015,9/1/2015,1,Voluntary Resignation,48,,
AA17VKY8L,,,,1/22/2022,1/1/2022,1,Voluntary Resignation,16,,"37,774"
AA18WKG2G,,,,,,,,40,,
AA19HIO8G,1/28/2019,1/1/2019,1,,,,,42,"40,637",
AA19UKY4J,8/3/2018,8/1/2018,1,,,,,22,,
AA20JVD6R,,,,7/1/2016,7/1/2016,1,Voluntary Resignation,20,,
AA20MTL6B,7/12/2021,7/1/2021,1,1/31/2015,1/1/2015,1,Voluntary Resignation,55,"38,125",
AA21RGF8Z,8/30/2021,8/1/2021,1,,,,,15,"37,967",
AA22BTD1B,2/22/2021,2/1/2021,1,7/27/2018,7/1/2018,1,Voluntary Resignation,20,"37,235",
AA23ABF3C,,,,,,,,53,,
AA23LIG0Y,3/2/2019,3/1/2019,1,6/5/2019,6/1/2019,1,Voluntary Resignation,49,"40,982","41,551"
AA23TUP2F,6/15/2015,6/1/2015,1,5/21/2016,5/1/2016,1,Voluntary Resignation,17,,
AA24ASC3T,5/5/2014,5/1/2014,1,10/30/2022,10/1/2022,1,Voluntary Resignation,51,,"38,875"
AA24WKJ9P,1/11/2021,1/1/2021,1,,,,,60,"38,541",
AA27RCA5O,1/2/2018,1/1/2018,1,,,,,59,,
AA28KHD8Y,10/3/2022,10/1/2022,1,,,,,23,"38,875",
AA29ANS3E,,,,,,,,50,,
AA31BIG2V,11/15/2021,11/1/2021,1,,,,,60,"37,866",
AA31TTS0E,,,,,,,,26,,
AA31XIH9O,4/7/2014,4/1/2014,1,,,,,33,,
AA34ZYI9Q,2/7/2022,2/1/2022,1,,,,,32,"37,885",
AA35BTM2M,,,,,,,,35,,
