POS_ID,TIME TO FILL
Yf74ANf1Z,25
Nk40ERj7R,19
Yz29LTw3M,52
Nk65ZHm3N,33
Nb36NMt2C,27
Xh13YDb0O,51
Xj57GIc7H,51
Ga14DIs0S,29
Eg15JYt0E,32
Mm14NPo2D,49
Kd16OPj9R,20
Rh23XLm7Q,55
Vt81LPr4P,21
Uk80HQc1H,33
Sm35QEk1A,26
Fk97BDm6M,52
Ac53SJg9H,50
Uv97IVr4R,56
Ef99FYj6A,32
Hb73FWt1E,26
Px68SZt1D,22
Zg93WOx3X,30
Gd19ZPf5N,19
Mb10FWj0C,15
Ga13VVg3O,40
Am36JEy0V,52
Rj67ITs1W,27
Ar19LKf9B,38
Vz42NWd3Z,37
Or18XUo3I,38
Xt39TEj4G,48
Pd63KWp1V,47
Iu93TAh5Q,60
Fc43KDp3B,14
Zr84DMg3J,45
Ok77JJg2Y,59
Ld24WTj6N,36
Js89EBz9T,58
At94EJj9O,47
Um30LNw5P,44
Jj44KKi2Q,17
Nf61BKw0Q,54
Sj50ILt9T,25
Dl43ZBg0K,36
Pc81URx1Y,44
Km45YAn0U,24
Dg13HIz8F,14
Dk65NQq8A,28
Wo46JPb8J,16
Yt12YNt1O,36
Ow95BGz7H,28
Yl54RXv2O,28
Zs72QIo9C,32
Hv71FGe7V,40
Mf82KQv3G,49
Hd37HJg0U,60
Pk27BXd1G,46
Ql65DLk7D,32
Ao78IBo1A,56
Pf92KWx5Z,36
Qf75ZCt8P,50
Ym75CUi9M,25
Yi41KCf9V,51
Hx87KLi8S,54
Ve97FUb8P,57
Vc30BEb8L,49
Dc89UPe6U,14
Eg81DMp5C,33
Bx28ECl4A,26
Wy54LXv2U,42
Wv84JGr7W,51
Gf68JSe3X,39
Gl61KCr2G,32
Vh65FIa0R,32
Yp56SOp7E,59
Ar86IUs3M,15
Fo88MUx9C,23
Wz76VUi4I,37
Dj23EPr0T,43
Ki84RYt2P,37
Fe87FCd0T,23
Ol91YSu7F,31
Me39DSr0H,53
Ul34GTi7J,38
Od40FCv8E,58
Ns62BHc1P,43
Fv91UPx8B,50
Jf34HPh2J,18
Dd47KDp7V,44
Gd88YVu9U,47
Uw14IEr0O,21
Wk19JDh3C,29
Ew88DUd4T,18
It67MCm0Z,27
Qc73SOj8S,26
Yg81UAe5Y,57
Tg41JQz3I,41
Ch19ZFv1C,16
Ah91SPr2K,28
Rj22ZFp2T,54
Bg40OUf2M,49
Ms95CTs4X,22
Mp59QTt2Q,19
Am69UUl3M,28
Gl34LSr8Z,19
Qh38CDo8G,48
Md36UBi8L,40
Ut74RJn9K,16
Rh67KDm6U,24
Vr87UGk6Q,37
Te10NRr1U,32
Wh20DPu7G,57
Qc79YCb2V,44
Bx74XGh1X,52
Hy59ZUb0P,44
Un53GJu4R,40
Oa56OGc4Z,22
Bm12RTk3I,34
Jt61VGp4M,44
Qq80LJr9Q,47
Vi77THx9N,57
Cs62TJp4V,32
Am85YUw6E,17
Ac68BPq4L,35
Je42JAy7Q,58
Am73BGq8P,44
Hz21CLu5R,29
Sc41QSp9I,37
Hi41JTr6U,51
Hu80DTq1T,57
Zx61TFo6X,56
Qw89BUr2F,54
Fj93NNi1S,49
Lf88CKw2Z,27
Vw13ECo2I,51
Av14KSk8Y,27
Rp32SNa6M,57
Md54BZj6F,48
Xy34WBi2Z,18
Jd71KRd8B,30
Pf96SOz7C,30
Gr30WHc9O,40
Dj93YKr4C,31
Vg50HJp7X,46
Xf12GPu4H,32
Ol46VWn2Q,41
Dv33MRw8D,32
Hz19RWt0A,35
Aq93UBa0S,35
Cy48BUi8B,22
Sl21SWv8W,36
Gb91ACi5M,22
Oi19ZLh8T,60
Dy90PMp7N,48
Ev63PXx8U,19
Cb85OAa1T,27
Um41GZq7T,28
Vj27NTk1W,54
Mt39LHj0G,15
Vu87RWt2U,29
Qr10ACp0O,35
Jr49OPq2I,22
Uh68SXs6S,22
Tf66KPz5U,37
Wj72LCv8O,51
Sw49DKj3Y,59
Wg33WCn8C,56
Xa82HMk0K,47
Ci74HSe3P,15
Ud98NHv9K,25
Rk98OLl1B,35
Fr78JFv6O,31
Zb24CBl4O,28
Tz38YZv9D,55
Xm67DCc6D,36
Vn65LTb0B,22
Zh59BSe6P,28
Lm20NSf9T,37
Qc18XTo2U,25
Hf33ZTv2W,22
Xc19BKx1X,52
Ns86TVz6J,47
Wk63WHh1W,50
Hb84MBc4H,46
Fd70TRs2T,46
Ul98JQt2R,59
Re80VAa7S,37
Nf91PAs5T,44
Mj60QId9W,15
Lw19PXd4T,20
Gi37TVn1L,51
Va43USp6G,37
Ws17UZk7C,32
Jr69QBp8L,19
Wk58CEa8K,47
Xx26XNn4Y,25
Uq89GTz9A,53
Rx26RIf0W,16
Ie63WSm2C,53
Pn57AQf3F,30
Kq59VSv8A,55
Cr66LGe9E,46
Ky16QNe1L,15
Mz95YFi2F,50
Wh86CHs7O,58
Uw72OHl3B,40
Yh32AOw9W,26
Hf89RKm0R,44
Xf63ROv7K,33
Hc15LEe9K,53
Re82ULi6X,43
Ae68MId2V,50
Wt99CSr0K,37
Iw47MDr9O,46
Ha36PHm7D,42
Dh61OOb1E,17
Ay74WQg3T,50
Xh47UNm3M,47
Tm12VVp9K,29
Gm91RDe1Y,55
Pe39PLo6Y,26
Re30TKf4B,50
Wp14DDv4B,42
Lg33QKk6K,44
Nc41FEl1C,37
Oz86VDs3D,31
Xl40DMd3M,34
Sp52CGw4E,54
Wo48WFx5R,39
Wk65GJr5A,59
Hp33TRi0N,26
Xi34EYz9S,59
Hv16CIb7A,28
Yy99IPm7V,55
Bq61EVt5U,34
La78KUm7D,14
Zw41GVq2I,32
Gj81SUi8J,50
Gs60DTi8E,55
Dx45BVb5Q,53
Ts85QXt4B,56
Gu18CLm1N,51
Ob52LMc7H,21
Ox37AWf3M,21
Na27JRm1G,28
Pf40RFx3P,33
Bi80HPp0O,42
Ez82FUe6L,54
Ny65JUw6X,32
Ak13TWp3B,19
Eb65KTd3V,26
Jp73VMj6J,57
Cu14YWm5E,24
Ee86UBi6M,36
Qs50JQw8B,21
Zt60CQs5F,28
Wr36ZKi9E,30
Vs13TRu8V,21
Gt49WAg6Z,17
Vo50IRa1U,56
Zz82FPu1X,43
Bi80RBb9L,44
Mn27HKw1X,21
Sl98WJz8S,23
Sp69HLv4K,33
Iq31CDo8J,41
Ai25ZHk3Z,45
Kh53TCr6U,51
Rj31MLt2G,36
Vx19THf9B,44
Ci48YGm7E,28
Gm80LGk8J,24
Ev70DLk9S,15
Zb57GSz1Y,50
Ms84MRf0F,35
Fd37NLc0Q,37
Ju14IZw9G,23
Vw40BLq4U,50
Lb46LDm4Q,32
Lp81HTv6L,33
Jf18YQn9R,32
Tn21PIk5P,44
Xp43ZQw7W,41
Hi27YNz2S,27
Xr78OKy2F,51
Jn55UGw9D,28
Fd58QQr0C,45
Yh30HLp7I,34
Og78ZEb4U,55
Dm64KUz2T,41
Vr69ONr5M,37
Ly19QZz0X,21
Xt43TJr6O,29
Ij26ZKr8V,58
Jb85WRn2O,34
Yj50KIq1G,42
Zi68CTp1N,57
Gt79PCp5P,17
Bp79KXs3C,59
Ab10EIq9S,58
Up76BFf8E,55
Nu12RWd5Q,32
Qo67WHp1D,51
Rb51COm9D,38
Gh12RWa9U,31
Bj93EUq6A,40
Es63JIh9G,20
Mb57VKp4E,51
Yk28DVy1U,29
Dh17VKr9X,60
Mu54GBx5M,19
Zu41LHm7P,44
Og99CCm2T,22
Eu13KVt5Y,18
Cy14WUl9U,59
Ul41CNk8H,53
Ce55VTp3T,37
Mb68QEv7V,55
Bp67TSk9E,18
Yz39HGl0E,19
Gu87BWk0C,57
Jr29QAk6L,19
Wr37HKh2P,43
Ub67VGj4I,34
Tu75SOi4J,33
Zk44IGx1Q,17
Vb19FQi2H,15
Ab56BOa2B,47
Gk24PVn0R,19
Gu23SBc2X,50
Ra43IDn5E,43
Ch15WFe2P,36
Ps86ROa4W,36
Hn47JQm4S,58
Fq39LBg7E,27
Is94BPy4M,37
Ir56AZy1X,19
Ob50VJr0Q,59
Eg43VTk3K,54
Uv32MMr0K,19
Ug41PEg4B,36
Vj30BNc2P,58
Yr96YFl5F,22
Cn57BDu9K,26
Ya54QZi8Q,54
