ALL_POS_ID,FILL_TIME,HIRE_DATE,HIRE_COUNT,TERM_DATE,TERM_COUNT,TERM_REASON,HIRE_DT_CALC,TERM_DT_CALC,HIRE_MONTH,TERM_MONTH,HIRE_HC,TERM_HC
Eg21HNv6E,30,,,2023-05-01,1,Retirement,2023-05-31,2023-05-01,2023-05-01,2023-05-01,,
Zc79EGp5G,51,,,2023-05-01,1,Retirement,2023-06-21,2023-05-01,2023-06-01,2023-05-01,,
Jb14ULa5M,29,,,2023-05-01,1,Voluntary Resignation,2023-05-30,2023-05-01,2023-05-01,2023-05-01,,
Nd91AAg2I,25,,,2023-05-01,1,Retirement,2023-05-26,2023-05-01,2023-05-01,2023-05-01,,
Uw21PJe8V,44,,,2023-05-01,1,Voluntary Resignation,2023-06-14,2023-05-01,2023-06-01,2023-05-01,,
Sy40HVa1U,57,,,2023-05-01,1,Voluntary Resignation,2023-06-27,2023-05-01,2023-06-01,2023-05-01,,
Hr90YJn3N,24,,,2023-05-02,1,Voluntary Resignation,2023-05-26,2023-05-02,2023-05-01,2023-05-01,,
Zw71JYu0P,49,,,2023-05-02,1,Voluntary Resignation,2023-06-20,2023-05-02,2023-06-01,2023-05-01,,
Eb78SRp0Y,36,,,2023-05-02,1,Voluntary Resignation,2023-06-07,2023-05-02,2023-06-01,2023-05-01,,
Wt62HXb2E,26,,,2023-05-02,1,Voluntary Resignation,2023-05-28,2023-05-02,2023-05-01,2023-05-01,,
Zz76OSh4R,45,,,2023-05-02,1,Voluntary Resignation,2023-06-16,2023-05-02,2023-06-01,2023-05-01,,
Oi70MJb5F,50,,,2023-05-02,1,Voluntary Resignation,2023-06-21,2023-05-02,2023-06-01,2023-05-01,,
Rc73PHu0M,40,,,2023-05-03,1,Voluntary Resignation,2023-06-12,2023-05-03,2023-06-01,2023-05-01,,
Gc16MNa4O,54,,,2023-05-03,1,Voluntary Resignation,2023-06-26,2023-05-03,2023-06-01,2023-05-01,,
Jo31AHg6O,44,,,2023-05-03,1,Voluntary Resignation,2023-06-16,2023-05-03,2023-06-01,2023-05-01,,
Iv14FJq6U,41,,,2023-05-03,1,Voluntary Resignation,2023-06-13,2023-05-03,2023-06-01,2023-05-01,,
Qg43GDs5K,50,,,2023-05-04,1,Voluntary Resignation,2023-06-23,2023-05-04,2023-06-01,2023-05-01,,
Ij85RRh0T,59,,,2023-05-04,1,Voluntary Resignation,2023-07-02,2023-05-04,2023-07-01,2023-05-01,,
Yb23HNz8O,34,,,2023-05-04,1,Voluntary Resignation,2023-06-07,2023-05-04,2023-06-01,2023-05-01,,
Tf37VAk5M,30,,,2023-05-05,1,Voluntary Resignation,2023-06-04,2023-05-05,2023-06-01,2023-05-01,,
Qt56QKk8H,42,,,2023-05-05,1,Voluntary Resignation,2023-06-16,2023-05-05,2023-06-01,2023-05-01,,
Ny34LRw8P,22,,,2023-05-05,1,Voluntary Resignation,2023-05-27,2023-05-05,2023-05-01,2023-05-01,,
Gg45PFy4W,41,,,2023-05-06,1,Voluntary Resignation,2023-06-16,2023-05-06,2023-06-01,2023-05-01,,
