YEAR_MONTH,Company HC
201901,40637
201902,40904
201903,40982
201904,41125
201905,40816
201906,41551
201907,41735
201908,41025
201909,41819
201910,42011
201911,42259
201912,41909
202001,42612
202002,41946
202003,42057
202004,41648
202005,40823
202006,40719
202007,39903
202008,39541
202009,39647
202010,38857
202011,38874
202012,38585
202101,38541
202102,37235
202103,37214
202104,37058
202105,37275
202106,38065
202107,38125
202108,37967
202109,38475
202110,38555
202111,37866
202112,37065
202201,37774
202202,37885
202203,38079
202204,37957
202205,37678
202206,38504
202207,38513
202208,38419
202209,38665
202210,38875
202211,38973
202212,38280
202301,38450
202302,38476
202303,38049
202304,37009
202305,36881
